YEAR,IC,PMID,grp
2023,CC,30667329,restIRP
2023,CC,31468153,restIRP
2023,CC,31509508,restIRP
2023,CC,34598869,restIRP
2023,CC,34854746,restIRP
2023,CC,35099572,restIRP
2023,CC,35183438,restIRP
2023,CC,36072945,restIRP
2023,CC,36103448,restIRP
2023,CC,36126402,restIRP
2023,CC,36156419,restIRP
2023,CC,36173542,restIRP
2023,CC,36309550,restIRP
2023,CC,36535979,restIRP
2023,CC,36754451,restIRP
2023,CC,36875636,restIRP
2023,CC,36914240,restIRP
2023,CC,36966070,restIRP
2023,CC,37015418,restIRP
2023,CC,37129493,restIRP
2023,CC,37540658,restIRP
2023,CC,37608564,restIRP
2023,CC,35259317,restIRP
2023,CC,37409220,restIRP
2023,CC,37417919,restIRP
2023,CC,37516828,restIRP
2023,CC,33655255,restIRP
2023,CC,34956207,restIRP
2023,CC,35301181,restIRP
2023,CC,35852866,restIRP
2023,CC,36517603,restIRP
2023,CC,37474251,restIRP
2023,CC,37529105,restIRP
2023,CC,35307353,restIRP
2023,CC,36253497,restIRP
2023,CC,36766826,restIRP
2023,CC,36791195,restIRP
2023,CC,35534047,restIRP
2023,CC,35902861,restIRP
2023,CC,36099324,restIRP
2023,CC,36510222,restIRP
2023,CC,36935289,restIRP
2023,CC,37394115,restIRP
2023,CC,35502918,restIRP
2023,CC,36176143,restIRP
2023,CC,37245498,restIRP
2023,CC,31345243,restIRP
2023,CC,35730393,restIRP
2023,CC,37383565,restIRP
2023,CC,33560694,restIRP
2023,CC,37352497,restIRP
2023,CC,36115844,restIRP
2023,CC,36170795,restIRP
2023,CC,36652685,restIRP
2023,CC,36848636,restIRP
2023,CC,37166923,restIRP
2023,CC,36516544,restIRP
2023,CC,37036346,restIRP
2023,CC,36836334,restIRP
2023,CC,34270823,restIRP
2023,CC,35095905,restIRP
2023,CC,35714307,restIRP
2023,CC,35767897,restIRP
2023,CC,35793467,restIRP
2023,CC,35896822,restIRP
2023,CC,36455197,restIRP
2023,CC,37084382,restIRP
2023,CC,37458302,restIRP
2023,CC,37477595,restIRP
2023,CC,36004627,restIRP
2023,CC,36029517,restIRP
2023,CC,36458542,restIRP
2023,CC,37318422,restIRP
2023,CC,35043674,restIRP
2023,CC,37039367,restIRP
2023,CC,36165792,restIRP
2023,CC,36204542,restIRP
2023,CC,36283115,restIRP
2023,CC,36988164,restIRP
2023,CC,37124052,restIRP
2023,CC,37191484,restIRP
2023,CC,37453304,restIRP
2023,CC,36004317,restIRP
2023,CC,36107788,restIRP
2023,CC,36466046,restIRP
2023,CC,37034120,restIRP
2023,CC,37436751,restIRP
2023,CC,37531612,restIRP
2023,CC,37639273,restIRP
2023,CC,36637251,restIRP
2023,CC,35687490,restIRP
2023,CC,36884218,restIRP
2023,CC,37277074,restIRP
2023,CC,28835518,restIRP
2023,CC,29044202,restIRP
2023,CC,36619973,restIRP
2023,CC,35464155,restIRP
2023,CC,35757680,restIRP
2023,CC,36156264,restIRP
2023,CC,37465939,restIRP
2023,CC,36191299,restIRP
2023,CC,37336294,restIRP
2021,CIT,32176487,restIRP
2021,CIT,32534527,restIRP
2021,CIT,33087575,restIRP
2021,CIT,33189678,restIRP
2021,CIT,33410847,restIRP
2021,CIT,33601544,restIRP
2021,CIT,33601596,restIRP
2021,CIT,33752368,restIRP
2021,CIT,34241169,restIRP
2021,CIT,34271681,restIRP
2021,CIT,34293906,restIRP
2021,CIT,31402520,restIRP
2021,NCATS,33812994,restIRP
2021,NCATS,32902275,restIRP
2021,NCATS,33290830,restIRP
2021,NCATS,33483532,restIRP
2021,NCATS,33822623,restIRP
2021,NCATS,33910017,restIRP
2021,NCATS,33941937,restIRP
2021,NCATS,33965046,restIRP
2021,NCATS,34110797,restIRP
2021,NCATS,33129109,restIRP
2021,NCATS,33158997,restIRP
2021,NCATS,33271120,restIRP
2021,NCATS,33801811,restIRP
2021,NCATS,33848478,restIRP
2021,NCATS,33859356,restIRP
2021,NCATS,33945878,restIRP
2021,NCATS,32511355,restIRP
2021,NCATS,32511420,restIRP
2021,NCATS,32993373,restIRP
2021,NCATS,33010822,restIRP
2021,NCATS,33333292,restIRP
2021,NCATS,33610792,restIRP
2021,NCATS,33623157,restIRP
2021,NCATS,33689873,restIRP
2021,NCATS,33708112,restIRP
2021,NCATS,33762619,restIRP
2021,NCATS,33831697,restIRP
2021,NCATS,31898878,restIRP
2021,NCATS,32074470,restIRP
2021,NCATS,32119531,restIRP
