,pi,ro,collab,institute,scope
0,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH
1,"Adam G Thomas, DPhil",Data Science and Sharing Team,Kurt  Braunlich,Section on Learning and Plasticity,NIMH
2,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH
3,"Adam G Thomas, DPhil",Data Science and Sharing Team,Meghan Elizabeth Byrne,Section on Development and Affective Neuroscience,NIMH
4,"Adam G Thomas, DPhil",Data Science and Sharing Team,Anthony Edward Galassi,Section on PET Neuroimaging Sciences,NIMH
5,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Daniel R Glen, BS",Scientific and Statistical Computing Core,NIMH
6,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Michael David Gregory, MD",Clinical and Translational Neuroscience Branch,NIMH
7,"Adam G Thomas, DPhil",Data Science and Sharing Team,Simone Paula Haller,Section on Development and Affective Neuroscience,NIMH
8,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH
9,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,NIMH
10,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Shane  Kippenhan, BS, MS, PhD",Clinical and Translational Neuroscience Branch,NIMH
11,"Adam G Thomas, DPhil",Data Science and Sharing Team,Ka Chun  Lam,Machine Learning Core,NIMH
12,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Siyuan  Liu, PhD",Section on Developmental Neurogenomics,NIMH
13,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
14,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Peter James Molfese, PhD",Functional MRI Core,NIMH
15,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Dylan M Nielson, PhD",Machine Learning Core,NIMH
16,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
17,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
18,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
19,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH
20,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Richard C Reynolds, MS, MS",Scientific and Statistical Computing Core,NIMH
22,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Vinai  Roopchansingh, PhD",Functional MRI Core,NIMH
23,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Neda  Sadeghi, PhD",Section on Social and Cognitive Developmental Neuroscience,NIMH
24,"Adam G Thomas, DPhil",Data Science and Sharing Team,Stephen  Sinclair,Section on Neurobiology and Treatment of Mood Disorders,NIMH
25,"Adam G Thomas, DPhil",Data Science and Sharing Team,Jeffrey Donald Stout,Magnetoencephalography Core,NIMH
26,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,NIMH
27,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH
34,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH
35,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
37,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,NIMH
38,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Peter James Molfese, PhD",Functional MRI Core,NIMH
39,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
40,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
46,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH
47,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
48,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
49,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"George Raphael Dold, MS",Section on Instrumentation,NIMH
50,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH
52,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
53,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Lindsay Meredith Oberman, PhD",Unit on Non-invasive Neuromodulation,NIMH
54,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
55,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
56,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,NIMH
57,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH
58,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
59,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH
60,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
61,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"George Raphael Dold, MS",Section on Instrumentation,NIMH
72,Angela Jane Langdon,Unit on Neural Computations in Learning,"Veronica Alicia Alvarez, PhD",Section on Neurobiology of Compulsive Behaviors,NIMH
73,Angela Jane Langdon,Unit on Neural Computations in Learning,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
79,"Arash  Afraz, PhD","Unit on Neurons, Circuits and Behavior","Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH
82,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
83,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
84,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
85,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH
99,"Ashura  Buckley, MD",Sleep and Neurodevelopment Service,"Cristan Ann Farmer, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
100,"Ashura  Buckley, MD",Sleep and Neurodevelopment Service,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
131,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,NIMH
132,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
134,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
135,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH
136,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH
174,"Barry J Richmond, MD",Section on Neural Coding and Computation,"Gang  Chen, PhD",Scientific and Statistical Computing Core,NIMH
175,"Barry J Richmond, MD",Section on Neural Coding and Computation,"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,NIMH
176,"Barry J Richmond, MD",Section on Neural Coding and Computation,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,NIMH
177,"Barry J Richmond, MD",Section on Neural Coding and Computation,"Sanjay  Telu, PhD",Section on PET Radiopharmaceutical Sciences,NIMH
186,"Benjamin H White, PhD",Section on Neural Function,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
198,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Veronica Alicia Alvarez, PhD",Section on Neurobiology of Compulsive Behaviors,NIMH
200,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH
201,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
202,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH
203,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
208,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Ioline D Henter, MA",Section on PET Neuroimaging Sciences,NIMH
209,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
210,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
211,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
212,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
213,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Ioline D Henter, MA",Section on PET Neuroimaging Sciences,NIMH
214,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
215,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
216,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
245,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
246,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
247,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"George Raphael Dold, MS",Section on Instrumentation,NIMH
248,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Cristan Ann Farmer, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
249,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Jessica  Gilbert, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
250,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,NIMH
251,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
252,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
253,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
254,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Bruce Allen Pritchard, BSEE",Section on Instrumentation,NIMH
255,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
256,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH
257,"Carlos Alberto Zarate, MD",Unit on Non-invasive Neuromodulation,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
304,"Charles R Gerfen, PhD",Section on Neuroanatomy,"Lee E Eiden, PhD",Section on Molecular Neuroscience,NIMH
305,"Charles R Gerfen, PhD",Section on Neuroanatomy,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH
306,"Charles R Gerfen, PhD",Section on Neuroanatomy,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
320,"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
321,"Chris Ian Baker, PhD",Section on Learning and Plasticity,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
322,"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
323,"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,NIMH
324,"Chris Ian Baker, PhD",Section on Learning and Plasticity,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
338,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,Gena Lynne Carwile Mooneyham,Office of the Clinical Director,NIMH
339,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
340,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Pavan Kumar Auluck, MD, PhD",Human Brain Collection Core,NIMH
341,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
342,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
359,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
360,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH
361,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,NIMH
362,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
371,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,NIMH
372,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
373,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,NIMH
374,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,NIMH
375,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
376,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH
377,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH
396,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH
398,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
407,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
408,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,James Andrew Bourne,Section on Cellular and Cognitive Neurodevelopment,NIMH
409,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,Grace Carolyn Alys Edwards,Section on Learning and Plasticity,NIMH
410,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
411,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,"Andrew Tyler Morgan, PhD",Functional MRI Core,NIMH
423,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Pavan Kumar Auluck, MD, PhD",Human Brain Collection Core,NIMH
424,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
425,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Daniel P Eisenberg,Clinical and Translational Neuroscience Branch,NIMH
426,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
427,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH
428,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH
429,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
430,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH
431,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Sarah Kaye Williams, PhD",Systems Neuroscience Imaging Resource,NIMH
432,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Mani  Yavi,Section on Neurobiology and Treatment of Mood Disorders,NIMH
433,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
448,"Francisco  Pereira, PhD",Machine Learning Core,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH
449,"Francisco  Pereira, PhD",Machine Learning Core,Martin Nikolai Hebart,Section on Learning and Plasticity,NIMH
450,"Francisco  Pereira, PhD",Machine Learning Core,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH
451,"Francisco  Pereira, PhD",Machine Learning Core,"Javier  Gonzalez-Castillo, PhD",Section on Functional Imaging Methods,NIMH
452,"Francisco  Pereira, PhD",Machine Learning Core,"Ana Rita Lourenco Inacio, PhD",Section on Functional Neural Circuits,NIMH
453,"Francisco  Pereira, PhD",Machine Learning Core,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH
454,"Francisco  Pereira, PhD",Machine Learning Core,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
455,"Francisco  Pereira, PhD",Machine Learning Core,"Jason Aaron Avery, PhD",Section on Cognitive Neuropsychology,NIMH
456,"Francisco  Pereira, PhD",Machine Learning Core,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
458,"Francisco  Pereira, PhD",Machine Learning Core,Amaia  Benitez Andonegui,Magnetoencephalography Core,NIMH
459,"Francisco  Pereira, PhD",Machine Learning Core,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH
462,"Francisco  Pereira, PhD",Machine Learning Core,Eric Allen Earl,Data Science and Sharing Team,NIMH
463,"Francisco  Pereira, PhD",Machine Learning Core,"Isabel Sofia Fernandez, BS",Section on Functional Imaging Methods,NIMH
464,"Francisco  Pereira, PhD",Machine Learning Core,Rodolfo Jesus Flores Garcia,Unit of Neuromodulation and Synaptic Integration,NIMH
465,"Francisco  Pereira, PhD",Machine Learning Core,Sunday Michelle Francis,Unit on Non-invasive Neuromodulation,NIMH
466,"Francisco  Pereira, PhD",Machine Learning Core,Samuel Erich Charles Frank,Section on Development and Affective Neuroscience,NIMH
467,"Francisco  Pereira, PhD",Machine Learning Core,Ramaris Elisa German,Unit on Neuroscience and Novel Therapeutics,NIMH
468,"Francisco  Pereira, PhD",Machine Learning Core,Alison Byrd Gibbons,Office of the Clinical Director,NIMH
469,"Francisco  Pereira, PhD",Machine Learning Core,Austin Matthew Greene,Section on Learning and Plasticity,NIMH
470,"Francisco  Pereira, PhD",Machine Learning Core,Simone Paula Haller,Section on Development and Affective Neuroscience,NIMH
471,"Francisco  Pereira, PhD",Machine Learning Core,"Daniel  Handwerker, PhD",Section on Functional Imaging Methods,NIMH
472,"Francisco  Pereira, PhD",Machine Learning Core,Lauren M Henry,Unit on Neuroscience and Novel Therapeutics,NIMH
473,"Francisco  Pereira, PhD",Machine Learning Core,"David Coulter Jangraw, PhD",Section on Development and Affective Neuroscience,NIMH
474,"Francisco  Pereira, PhD",Machine Learning Core,"Shruti A Japee, BS, MS, PhD",Section on Cognitive Neuropsychology,NIMH
477,"Francisco  Pereira, PhD",Machine Learning Core,Sharif Ismail Kronemer,Section on Functional Imaging Methods,NIMH
478,"Francisco  Pereira, PhD",Machine Learning Core,Zoe Fu Han Laky,Unit on Neuroscience and Novel Therapeutics,NIMH
480,"Francisco  Pereira, PhD",Machine Learning Core,Cassandra Marie Levesque,Section on Cognitive Neuropsychology,NIMH
481,"Francisco  Pereira, PhD",Machine Learning Core,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH
484,"Francisco  Pereira, PhD",Machine Learning Core,"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,NIMH
486,"Francisco  Pereira, PhD",Machine Learning Core,"Ajeet  Mandal, PhD",Human Brain Collection Core,NIMH
487,"Francisco  Pereira, PhD",Machine Learning Core,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
488,"Francisco  Pereira, PhD",Machine Learning Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
489,"Francisco  Pereira, PhD",Machine Learning Core,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
490,"Francisco  Pereira, PhD",Machine Learning Core,"Peter James Molfese, PhD",Functional MRI Core,NIMH
491,"Francisco  Pereira, PhD",Machine Learning Core,Reut  Naim,Unit on Neuroscience and Novel Therapeutics,NIMH
492,"Francisco  Pereira, PhD",Machine Learning Core,Matthias  Nau,Section on Learning and Plasticity,NIMH
493,"Francisco  Pereira, PhD",Machine Learning Core,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
494,"Francisco  Pereira, PhD",Machine Learning Core,John Joseph O'malley,Section on the Neural Circuits of Emotion and Motivation,NIMH
495,"Francisco  Pereira, PhD",Machine Learning Core,"Lindsay Meredith Oberman, PhD",Unit on Non-invasive Neuromodulation,NIMH
496,"Francisco  Pereira, PhD",Machine Learning Core,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH
497,"Francisco  Pereira, PhD",Machine Learning Core,Andrew Steven Persichetti,Section on Cognitive Neuropsychology,NIMH
