IC,YEAR,IPID
NCI,2024,134562
NCI,2024,134405
NCI,2024,134448
NCI,2024,134666
NCI,2024,134560
NCI,2024,134643
NCI,2024,135024
NCI,2024,134862
NCI,2024,134463
NCI,2024,134439
NCI,2024,135147
NCI,2024,134801
NCI,2024,134609
NCI,2024,134679
NCI,2024,135090
NCI,2024,134677
NCI,2024,134564
NCI,2024,134699
NCI,2024,135008
NCI,2024,135018
NCI,2024,134928
NCI,2024,135117
NCI,2024,134818
NCI,2024,134999
NCI,2024,134969
NCI,2024,134723
NCI,2024,135122
NCI,2024,134508
NCI,2024,134974
NCI,2024,134773
NCI,2024,135084
NCI,2024,134612
NCI,2024,134569
NCI,2024,134655
NCI,2024,134781
NCI,2024,134706
NCI,2024,134639
NCI,2024,135153
NCI,2024,134396
NCI,2024,134412
NCI,2024,134625
NCI,2024,134778
NCI,2024,134792
NCI,2024,135142
NCI,2024,134707
NCI,2024,134701
NCI,2024,135092
NCI,2024,135038
NCI,2024,134831
NCI,2024,134713
NCI,2024,135103
NCI,2024,134700
NCI,2024,134936
NCI,2024,135052
NCI,2024,134606
NCI,2024,134334
NCI,2024,134789
NCI,2024,134506
NCI,2024,134372
NCI,2024,134557
NCI,2024,134559
NCI,2024,134659
NCI,2024,134889
NCI,2024,134954
NCI,2024,138356
NCI,2024,134971
NCI,2024,134355
NCI,2024,134428
NCI,2024,134504
NCI,2024,134436
NCI,2024,134394
NCI,2024,135094
NCI,2024,134561
NCI,2024,134859
NCI,2024,134710
NCI,2024,134708
NCI,2024,134359
NCI,2024,134803
NCI,2024,134898
NCI,2024,138345
NCI,2024,134644
NCI,2024,134401
NCI,2024,134841
NCI,2024,138357
NCI,2024,134716
NCI,2024,134938
NCI,2024,134386
NCI,2024,134399
NCI,2024,135091
NCI,2024,134586
NCI,2024,134444
NCI,2024,134940
NCI,2024,134957
NCI,2024,134402
NCI,2024,134492
NCI,2024,134795
NCI,2024,134800
NCI,2024,138347
NCI,2024,134523
NCI,2024,134646
NCI,2024,135089
NCI,2024,135041
NCI,2024,135102
NCI,2024,135010
NCI,2024,134688
NCI,2024,134670
NCI,2024,134429
NCI,2024,135088
NCI,2024,134418
NCI,2024,134765
NCI,2024,134600
NCI,2024,134605
NCI,2024,134682
NCI,2024,134438
NCI,2024,134752
NCI,2024,134835
NCI,2024,134381
NCI,2024,134363
NCI,2024,134510
NCI,2024,134511
NCI,2024,134680
NCI,2024,134966
NCI,2024,135005
NCI,2024,134348
NCI,2024,134464
NCI,2024,134339
NCI,2024,134469
NCI,2024,134593
NCI,2024,135070
NCI,2024,134756
NCI,2024,134786
NCI,2024,134479
NCI,2024,138338
NCI,2024,134427
NCI,2024,134945
NCI,2024,134729
NCI,2024,134947
NCI,2024,134959
NCI,2024,135003
NCI,2024,135076
NCI,2024,134715
NCI,2024,134507
NCI,2024,134839
NCI,2024,135060
NCI,2024,134669
NCI,2024,135074
NCI,2024,134337
NCI,2024,134794
NCI,2024,134491
NCI,2024,135030
NCI,2024,134442
NCI,2024,134516
NCI,2024,134799
NCI,2024,134759
NCI,2024,134536
NCI,2024,135115
NCI,2024,134740
NCI,2024,134602
NCI,2024,134607
NCI,2024,138336
NCI,2024,134451
NCI,2024,134531
NCI,2024,135096
NCI,2024,135075
NCI,2024,134885
NCI,2024,135042
NCI,2024,134553
NCI,2024,134973
NCI,2024,134416
NCI,2024,134681
NCI,2024,134546
NCI,2024,135068
NCI,2024,134622
NCI,2024,134521
NCI,2024,134344
NCI,2024,134541
NCI,2024,134457
NCI,2024,134434
NCI,2024,134993
NCI,2024,135078
NCI,2024,135139
NCI,2024,134318
NCI,2024,135043
NCI,2024,134574
NCI,2024,134330
NCI,2024,134868
NCI,2024,134866
NCI,2024,134739
NCI,2024,135106
NCI,2024,134595
NCI,2024,135022
NCI,2024,134576
NCI,2024,134998
NCI,2024,134338
NCI,2024,137253
NCI,2024,134918
NCI,2024,135099
NCI,2024,135104
NCI,2024,134445
NCI,2024,134678
NCI,2024,134364
NCI,2024,134548
NCI,2024,134542
